院系名称,全校毕业生_毕业人数,全校毕业生_就业数,全校毕业生_毕业去向落实率,本科生毕业_毕业人数,本科生毕业_就业数,本科生毕业_毕业去向落实率,毕业研究生_毕业人数,毕业研究生_就业数,毕业研究生_毕业去向落实率,博士生毕业_毕业人数,博士生毕业_就业数,博士生毕业_毕业去向落实率,硕士生毕业_毕业人数,硕士生毕业_就业数,硕士生毕业_毕业去向落实率,年份
微电子与通信工程学院,413,381,0.9225,265,235,0.8868,148,146,0.9865,16,16,1,132,130,0.9848,2023
计算机学院,453,423,0.9338,290,267,0.9207,163,156,0.9571,16,16,1,147,140,0.9524,2023
土木工程学院,824,774,0.9393,432,396,0.9167,392,378,0.9643,50,48,0.96,342,330,0.9649,2023
大数据与软件学院,298,288,0.9664,213,203,0.9531,85,85,1,7,7,1,78,78,1,2023
生命科学学院,71,57,0.8028,25,18,0.72,46,39,0.8478,8,7,0.875,38,32,0.8421,2023
机械与运载工程学院,1042,968,0.929,510,445,0.8725,532,523,0.9831,81,79,0.9753,451,444,0.9845,2023
资源与安全学院,205,195,0.9512,105,96,0.9143,100,99,0.99,21,20,0.9524,79,79,1,2023
生物工程学院,286,251,0.8776,110,87,0.7909,176,164,0.9318,45,42,0.9333,131,122,0.9313,2023
新闻学院,193,161,0.8342,117,89,0.7607,76,72,0.9474,-,-,-,76,72,0.9474,2023
光电工程学院,387,363,0.938,222,199,0.8964,165,164,0.9939,36,36,1,129,128,0.9922,2023
自动化学院,410,397,0.9683,259,249,0.9614,151,148,0.9801,18,17,0.9444,133,131,0.985,2023
数学与统计学院,313,271,0.8658,173,138,0.7977,140,133,0.95,8,8,1,132,125,0.947,2023
物理学院,192,161,0.8385,132,105,0.7955,60,56,0.9333,17,17,1,43,39,0.907,2023
药学院,115,110,0.9565,46,41,0.8913,69,69,1,15,15,1,54,54,1,2023
重庆大学-辛辛那提大学联合学院,79,78,0.9873,79,78,0.9873,-,-,-,-,-,-,-,-,-,2023
能源与动力工程学院,354,333,0.9407,209,190,0.9091,145,143,0.9862,26,26,1,119,117,0.9832,2023
电气工程学院,571,542,0.9492,285,260,0.9123,286,282,0.986,46,45,0.9783,240,237,0.9875,2023
体育学院,50,43,0.86,31,27,0.871,19,16,0.8421,-,-,-,19,16,0.8421,2023
美视电影学院,283,245,0.8657,215,190,0.8837,68,55,0.8088,-,-,-,68,55,0.8088,2023
外国语学院,227,192,0.8458,121,102,0.843,106,90,0.8491,1,1,1,105,89,0.8476,2023
博雅学院&人文社会科学高等研究院,72,69,0.9583,37,34,0.9189,35,35,1,1,1,1,34,34,1,2023
弘深学院,114,114,1.0,114,114,1,-,-,-,-,-,-,-,-,-,2023
医学院,58,54,0.931,-,-,-,58,54,0.931,-,-,-,58,54,0.931,2023
